customer_id,old_mobile,new_mobile,change_date
CUST101039,9410782250,9440681847,2025-06-08
CUST100023,9173604459,9461866700,2025-03-17
CUST100733,9696282971,9280977356,2025-03-19
CUST101049,9321547909,9165499190,2025-04-25
CUST100403,9854288866,9093593254,2025-05-07
CUST100814,9196067559,9909041523,2025-04-05
CUST100183,9860571233,9731870399,2025-01-11
CUST100593,9375211549,9404277440,2025-06-18
CUST100863,9546791166,9964503105,2025-06-15
CUST100225,9096326287,9781498129,2025-05-06
CUST100159,9218280095,9083027315,2025-03-17
CUST100519,9456760043,9372110880,2025-04-02
CUST100950,9505375027,9597525957,2025-05-05
CUST100744,9008627747,9194191985,2025-01-24
CUST100815,9094041896,9694695778,2025-04-16
CUST100345,9520519018,9435527354,2025-03-24
CUST100557,9709992084,9588790857,2025-06-29
CUST100569,9921413551,9441614456,2025-01-30
CUST100588,9699340543,9064881736,2025-06-03
CUST100983,9819341096,9502038143,2025-04-10
CUST100954,9121870334,9589254726,2025-03-24
CUST100404,9438112499,9505107332,2025-05-23
CUST100974,9961569815,9361676149,2025-01-22
CUST100511,9519510015,9690785707,2025-02-03
CUST100854,9142697793,9543012111,2025-04-13
CUST100081,9390840183,9112536009,2025-03-31
CUST100229,9107239491,9535312064,2025-01-01
CUST100970,9179986053,9800090127,2025-01-01
CUST100103,9039835460,9938245838,2025-01-15
CUST100326,9092834583,9568523188,2025-06-13
CUST100292,9224983976,9575968097,2025-03-17
CUST100356,9822410983,9205768372,2025-02-23
CUST100409,9164923000,9499729498,2025-04-09
CUST100370,9463625453,9620866376,2025-02-10
CUST100412,9354833714,9508293098,2025-03-30
CUST100995,9541649319,9651869623,2025-04-09
CUST100197,9234208611,9890558776,2025-06-28
CUST100154,9010577316,9143996646,2025-06-21
CUST100994,9805084657,9443298304,2025-05-25
CUST100565,9359309749,9831917048,2025-02-13
CUST100489,9184312995,9252357233,2025-06-29
CUST101032,9419770617,9673128715,2025-03-22
CUST100098,9265161105,9669567395,2025-06-09
CUST100711,9417666940,9188151212,2025-06-12
CUST100694,9754257332,9903512436,2025-06-17
CUST100208,9840076925,9950408715,2025-06-08
CUST100506,9697090893,9092960312,2025-01-25
CUST100883,9717521387,9803680502,2025-01-11
CUST100776,9663697831,9989974263,2025-02-08
CUST100457,9586325346,9360709878,2025-01-04
CUST100144,9939278727,9736680785,2025-05-31
CUST100229,9680971462,9144438722,2025-05-26
CUST100246,9771074788,9104306480,2025-04-30
CUST100077,9181670121,9045608649,2025-02-28
CUST101009,9482628888,9419269692,2025-01-30
CUST100724,9565343290,9124176417,2025-02-01
CUST100032,9490549914,9723190081,2025-03-19
CUST100511,9522575274,9963991420,2025-04-26
CUST100957,9272170362,9974397317,2025-04-29
CUST100333,9767511495,9069689270,2025-01-29
CUST100773,9597398542,9031338123,2025-04-16
CUST100671,9187373189,9539201411,2025-03-14
CUST100445,9469545845,9156044572,2025-04-27
CUST100438,9802279497,9461277495,2025-06-23
CUST100761,9256225188,9784878538,2025-06-05
CUST100450,9859926617,9531036396,2025-03-08
CUST100275,9808556701,9319859599,2025-01-03
CUST100114,9091224858,9090823971,2025-02-04
CUST100536,9361459446,9811986737,2025-04-01
CUST100222,9147454551,9363760741,2025-01-15
CUST100198,9239294570,9232415018,2025-02-19
CUST100998,9872368305,9381107514,2025-05-24
CUST100644,9886100772,9911115438,2025-01-15
CUST100445,9599050262,9038395919,2025-02-10
CUST100836,9791370771,9190785559,2025-04-22
CUST100482,9683920900,9842159884,2025-06-23
CUST100248,9345447075,9721647741,2025-04-11
CUST100748,9610455027,9969443525,2025-03-05
CUST100770,9580855046,9963927199,2025-05-29
CUST100133,9878637437,9302904629,2025-02-08
CUST101043,9121274887,9900266077,2025-04-30
CUST100591,9649201117,9663354448,2025-05-05
CUST100033,9569432294,9207851337,2025-06-20
CUST100377,9701471540,9582531518,2025-05-16
CUST100072,9975871370,9150465586,2025-03-05
CUST100576,9916034786,9932669444,2025-02-16
CUST100317,9144562297,9448186734,2025-01-26
CUST100957,9886880383,9321118961,2025-02-15
CUST101034,9110915366,9571947966,2025-01-21
CUST100630,9269836389,9272323325,2025-05-21
CUST100672,9167427173,9394898699,2025-04-11
CUST100661,9399387808,9732881667,2025-03-06
CUST100448,9019840673,9427656245,2025-02-01
CUST100301,9602301139,9903310569,2025-03-05
CUST100742,9945115540,9827377290,2025-02-27
CUST100256,9135730303,9394082548,2025-01-20
CUST100830,9307936052,9575706813,2025-04-09
CUST100459,9195853769,9492228067,2025-02-12
CUST100431,9719303342,9959118080,2025-01-28
CUST100034,9146045673,9605609917,2025-04-22
CUST100133,9716826123,9219993720,2025-06-27
CUST100964,9517381967,9074792883,2025-05-15
CUST100736,9807530107,9792262757,2025-05-09
CUST100844,9739870461,9212175872,2025-04-14
CUST100148,9278987710,9271966385,2025-05-19
CUST100783,9488342200,9220494043,2025-03-06
CUST100081,9725105670,9378262968,2025-05-09
CUST100302,9592119946,9198759275,2025-06-16
CUST100192,9948645212,9747018839,2025-05-31
CUST100383,9800021704,9248789712,2025-02-07
CUST100430,9189938508,9222315697,2025-05-21
CUST100835,9585489146,9166940401,2025-02-13
CUST100739,9307848764,9304288677,2025-06-15
CUST100777,9494258342,9097620932,2025-03-21
CUST100386,9167598525,9341257623,2025-01-22
CUST100109,9024732229,9408874498,2025-03-23
CUST100446,9267602831,9113118084,2025-04-12
CUST100632,9882752741,9831863865,2025-02-06
CUST100474,9023019607,9870657340,2025-01-07
CUST100280,9927714895,9948484286,2025-06-29
CUST100134,9644548371,9062270776,2025-04-04
CUST100002,9397904733,9721028057,2025-03-22
CUST100293,9207838006,9781977738,2025-04-18
CUST100736,9432076293,9464061165,2025-02-21
CUST100813,9863898923,9144805731,2025-04-21
CUST100758,9775388433,9319388542,2025-06-28
CUST100838,9011851626,9395462421,2025-03-28
CUST100084,9487637459,9551169258,2025-01-31
CUST100930,9324361654,9688493869,2025-03-09
CUST100470,9431222692,9015148844,2025-03-26
CUST100486,9682016338,9809519231,2025-03-06
CUST100480,9858794107,9971845615,2025-02-22
CUST100928,9358188793,9259837511,2025-05-05
CUST101044,9432463078,9704981014,2025-05-12
CUST100141,9024810984,9291268514,2025-01-01
CUST100624,9121930944,9589986825,2025-03-01
CUST100472,9199245764,9659484877,2025-06-15
CUST100706,9124784179,9912963193,2025-02-28
CUST100964,9340206141,9223819179,2025-01-10
CUST100157,9389467243,9371873471,2025-05-01
CUST100889,9354465159,9980554064,2025-03-09
CUST100911,9409979813,9140637533,2025-05-08
CUST100340,9790316838,9317471758,2025-06-02
CUST100109,9492772998,9540242926,2025-01-07
CUST100167,9203867617,9311109034,2025-03-08
CUST101041,9124612120,9210944159,2025-05-15
CUST100738,9851839425,9007020675,2025-05-22
CUST100872,9823335916,9494042486,2025-05-12
CUST100695,9108658076,9478971894,2025-04-01
CUST100409,9775268341,9323383715,2025-04-07
CUST100191,9038855032,9312457707,2025-02-02
CUST101050,9112097234,9824808542,2025-01-21
CUST100890,9910025298,9941378819,2025-02-23
CUST100764,9169144862,9283389881,2025-02-19
CUST100538,9506182006,9389466245,2025-06-26
CUST100956,9291848404,9248026495,2025-01-16
CUST100111,9469881860,9573699090,2025-02-12
CUST100564,9318433127,9959028626,2025-04-21
CUST100423,9344678210,9822686364,2025-04-20
CUST100767,9934285753,9710312728,2025-06-21
