customer_id,customer_name,email,city,signup_channel,signup_date
1001,Customer_1,user1@mail.com,Patna,App,2025-02-22
1002,Customer_2,user2@mail.com,Mumbai,Referral,2025-01-24
1003,Customer_3,user3@mail.com,Jaipur,Referral,2025-02-08
1004,Customer_4,user4@mail.com,Mysuru,App,2025-02-18
1005,Customer_5,,Patna,Referral,2025-01-21
1006,Customer_6,user6@mail.com,Mysuru,Referral,2025-02-18
1007,Customer_7,user7@mail.com,Ranchi,Website,2025-01-12
1008,Customer_8,user8@mail.com,Jaipur,Referral,2025-02-22
1009,Customer_9,,Patna,Referral,2025-02-28
1010,Customer_10,user10@mail.com,Ranchi,App,2025-02-07
1011,Customer_11,user11@mail.com,Patna,Website,2025-02-22
1012,Customer_12,user12@mail.com,Mysuru,Referral,2025-01-05
1013,Customer_13,user13@mail.com,Kochi,Website,2025-02-22
1014,Customer_14,,Pune,Website,2025-01-12
1015,Customer_15,user15@mail.com,Ranchi,Website,2025-01-08
1016,Customer_16,user16@mail.com,Kochi,Website,2025-01-03
1017,Customer_17,user17@mail.com,Mysuru,Website,2025-02-02
1018,Customer_18,user18@mail.com,Kochi,Referral,2025-01-10
1019,Customer_19,user19@mail.com,Surat,Website,2025-02-19
1020,Customer_20,user20@mail.com,Bengaluru,App,2025-01-02
1021,Customer_21,,Mysuru,Referral,2025-01-30
1022,Customer_22,user22@mail.com,Ranchi,App,2025-02-11
1023,Customer_23,user23@mail.com,Delhi,Website,2025-02-10
1024,Customer_24,user24@mail.com,Indore,App,2025-02-24
1025,Customer_25,user25@mail.com,Nagpur,Website,2025-02-18
1026,Customer_26,user26@mail.com,Ranchi,Website,2025-02-24
1027,Customer_27,user27@mail.com,Pune,Website,2025-02-08
1028,Customer_28,user28@mail.com,Mysuru,App,2025-02-28
1029,Customer_29,user29@mail.com,Mumbai,Referral,2025-02-21
1030,Customer_30,user30@mail.com,Kochi,App,2025-02-22
1031,Customer_31,user31@mail.com,Ranchi,Referral,2025-02-21
1032,Customer_32,user32@mail.com,Pune,Referral,2025-01-02
1033,Customer_33,,Nagpur,App,2025-01-08
1034,Customer_34,user34@mail.com,Mumbai,Website,2025-01-21
1035,Customer_35,user35@mail.com,Delhi,Website,2025-02-07
